step,controller,intersection,queue
41,fixed_time,n1_3,48.0
41,fixed_time,n2_0,48.0
41,fixed_time,n2_1,150.9595138500793
41,fixed_time,n2_2,85.55555555555554
41,fixed_time,n2_3,45.66666666666667
41,fixed_time,n3_0,0.0
41,fixed_time,n3_1,28.093137337917096
41,fixed_time,n3_2,23.0
41,fixed_time,n3_3,0.0
42,fixed_time,n0_0,0.0
42,fixed_time,n0_1,56.0
42,fixed_time,n0_2,54.0
42,fixed_time,n0_3,0.0
42,fixed_time,n1_0,32.0
42,fixed_time,n1_1,222.56742705210928
42,fixed_time,n1_2,123.4164168741215
42,fixed_time,n1_3,40.0
42,fixed_time,n2_0,32.0
42,fixed_time,n2_1,124.29284718341265
42,fixed_time,n2_2,90.55555555555554
42,fixed_time,n2_3,31.000000000000007
42,fixed_time,n3_0,0.0
42,fixed_time,n3_1,36.0931373379171
42,fixed_time,n3_2,31.0
42,fixed_time,n3_3,0.0
43,fixed_time,n0_0,0.0
43,fixed_time,n0_1,72.0
43,fixed_time,n0_2,67.1990324419832
43,fixed_time,n0_3,0.0
43,fixed_time,n1_0,16.0
43,fixed_time,n1_1,205.7664594940925
43,fixed_time,n1_2,133.48598621483853
43,fixed_time,n1_3,29.19903244198321
43,fixed_time,n2_0,16.0
43,fixed_time,n2_1,99.9595138500793
43,fixed_time,n2_2,94.55555555555554
43,fixed_time,n2_3,16.66666666666667
43,fixed_time,n3_0,0.0
43,fixed_time,n3_1,44.0931373379171
43,fixed_time,n3_2,39.0
43,fixed_time,n3_3,0.0
44,fixed_time,n0_0,0.0
44,fixed_time,n0_1,80.0
44,fixed_time,n0_2,78.42125466420543
44,fixed_time,n0_3,0.0
44,fixed_time,n1_0,8.0
44,fixed_time,n1_1,193.27747388703546
44,fixed_time,n1_2,143.4859862148385
44,fixed_time,n1_3,16.42125466420543
44,fixed_time,n2_0,3.9554588373874062
44,fixed_time,n2_1,93.75980400458377
44,fixed_time,n2_2,90.84434772627628
44,fixed_time,n2_3,8.666666666666666
44,fixed_time,n3_0,0.0
44,fixed_time,n3_1,49.426470671250435
44,fixed_time,n3_2,47.0
44,fixed_time,n3_3,0.0
45,fixed_time,n0_0,0.0
45,fixed_time,n0_1,80.0
45,fixed_time,n0_2,80.0
